prompt,label
I am reserving for 29 November at 07:04 with a class 2 truck.,November-29--07:04-class 2 truck

I am reserving for 03 October at 08:21 with a medium.,October-03--08:21-medium

I am reserving for 17 October at 07:25 with a class 2 truck.,October-17--07:25-class 2 truck

I am reserving for 25 November at 16:51 with a medium.,November-25--16:51-medium

I am reserving for 09 November at 18:30 with a class 1 truck.,November-09--18:30-class 1 truck

I am reserving for 21 October at 07:53 with a full-size.,October-21--07:53-full-size

I am reserving for 02 November at 09:40 with a compact.,November-02--09:40-compact

I am reserving for 26 November at 18:30 with a compact.,November-26--18:30-compact

I am reserving for 26 October at 18:30 with a full-size.,October-26--18:30-full-size

I am reserving for 14 November at 07:48 with a full-size.,November-14--07:48-full-size

I am reserving for 01 October at 18:04 with a full-size.,October-01--18:04-full-size

I am reserving for 29 November at 17:19 with a class 2 truck.,November-29--17:19-class 2 truck

I am reserving for 23 October at 15:48 with a full-size.,October-23--15:48-full-size

I am reserving for 01 November at 14:58 with a medium.,November-01--14:58-medium

I am reserving for 26 November at 12:10 with a compact.,November-26--12:10-compact

I am reserving for 08 November at 18:30 with a class 1 truck.,November-08--18:30-class 1 truck

I am reserving for 27 November at 11:15 with a compact.,November-27--11:15-compact

I am reserving for 24 October at 07:55 with a full-size.,October-24--07:55-full-size

I am reserving for 29 November at 11:59 with a class 1 truck.,November-29--11:59-class 1 truck

I am reserving for 23 October at 18:17 with a compact.,October-23--18:17-compact

I am reserving for 18 October at 07:44 with a full-size.,October-18--07:44-full-size

I am reserving for 08 November at 07:04 with a class 1 truck.,November-08--07:04-class 1 truck

I am reserving for 02 November at 11:17 with a class 2 truck.,November-02--11:17-class 2 truck

I am reserving for 28 November at 18:30 with a compact.,November-28--18:30-compact

I am reserving for 04 November at 15:37 with a compact.,November-04--15:37-compact

I am reserving for 23 October at 18:30 with a full-size.,October-23--18:30-full-size

I am reserving for 07 November at 15:16 with a class 2 truck.,November-07--15:16-class 2 truck

I am reserving for 30 October at 16:11 with a class 1 truck.,October-30--16:11-class 1 truck

I am reserving for 27 November at 10:51 with a class 2 truck.,November-27--10:51-class 2 truck

I am reserving for 24 November at 13:48 with a class 1 truck.,November-24--13:48-class 1 truck

I am reserving for 09 November at 18:03 with a class 2 truck.,November-09--18:03-class 2 truck

I am reserving for 23 November at 09:13 with a full-size.,November-23--09:13-full-size

I am reserving for 06 November at 18:30 with a compact.,November-06--18:30-compact

I am reserving for 28 November at 18:30 with a compact.,November-28--18:30-compact

I am reserving for 01 October at 18:19 with a medium.,October-01--18:19-medium

I am reserving for 19 November at 10:13 with a compact.,November-19--10:13-compact

I am reserving for 18 November at 07:40 with a class 1 truck.,November-18--07:40-class 1 truck

I am reserving for 06 November at 07:50 with a medium.,November-06--07:50-medium

I am reserving for 23 November at 07:51 with a class 2 truck.,November-23--07:51-class 2 truck

I am reserving for 23 November at 18:16 with a compact.,November-23--18:16-compact

I am reserving for 19 November at 18:04 with a class 2 truck.,November-19--18:04-class 2 truck

I am reserving for 13 November at 16:46 with a medium.,November-13--16:46-medium

I am reserving for 30 November at 12:41 with a class 2 truck.,November-30--12:41-class 2 truck

I am reserving for 22 November at 18:16 with a compact.,November-22--18:16-compact

I am reserving for 28 November at 18:02 with a full-size.,November-28--18:02-full-size

I am reserving for 18 November at 10:49 with a full-size.,November-18--10:49-full-size

I am reserving for 10 November at 08:00 with a class 1 truck.,November-10--08:00-class 1 truck

I am reserving for 19 October at 07:50 with a class 1 truck.,October-19--07:50-class 1 truck

I am reserving for 03 November at 07:54 with a full-size.,November-03--07:54-full-size

I am reserving for 24 November at 13:31 with a medium.,November-24--13:31-medium

I am reserving for 11 November at 18:30 with a compact.,November-11--18:30-compact

I am reserving for 30 November at 16:20 with a class 1 truck.,November-30--16:20-class 1 truck

I am reserving for 27 November at 07:34 with a compact.,November-27--07:34-compact

I am reserving for 27 November at 07:05 with a full-size.,November-27--07:05-full-size

I am reserving for 29 November at 07:47 with a full-size.,November-29--07:47-full-size

I am reserving for 28 November at 07:15 with a medium.,November-28--07:15-medium

I am reserving for 04 October at 07:03 with a medium.,October-04--07:03-medium

I am reserving for 25 November at 15:48 with a medium.,November-25--15:48-medium

I am reserving for 23 November at 12:29 with a class 2 truck.,November-23--12:29-class 2 truck

I am reserving for 16 October at 08:58 with a medium.,October-16--08:58-medium

I am reserving for 11 November at 07:19 with a class 1 truck.,November-11--07:19-class 1 truck

I am reserving for 27 November at 07:21 with a compact.,November-27--07:21-compact

I am reserving for 18 October at 08:00 with a full-size.,October-18--08:00-full-size

I am reserving for 24 November at 18:30 with a compact.,November-24--18:30-compact

I am reserving for 29 November at 11:57 with a class 1 truck.,November-29--11:57-class 1 truck

I am reserving for 13 October at 18:30 with a full-size.,October-13--18:30-full-size

I am reserving for 23 November at 18:28 with a class 1 truck.,November-23--18:28-class 1 truck

I am reserving for 22 November at 18:28 with a class 1 truck.,November-22--18:28-class 1 truck

I am reserving for 30 November at 07:58 with a class 2 truck.,November-30--07:58-class 2 truck

I am reserving for 26 October at 10:27 with a medium.,October-26--10:27-medium

I am reserving for 22 November at 07:05 with a compact.,November-22--07:05-compact

I am reserving for 18 November at 07:39 with a class 2 truck.,November-18--07:39-class 2 truck

I am reserving for 29 November at 10:33 with a compact.,November-29--10:33-compact

I am reserving for 21 November at 07:56 with a class 1 truck.,November-21--07:56-class 1 truck

I am reserving for 13 October at 07:00 with a class 1 truck.,October-13--07:00-class 1 truck

I am reserving for 15 October at 10:08 with a class 1 truck.,October-15--10:08-class 1 truck

I am reserving for 14 November at 13:16 with a compact.,November-14--13:16-compact

I am reserving for 30 October at 09:23 with a medium.,October-30--09:23-medium

I am reserving for 15 October at 07:08 with a compact.,October-15--07:08-compact

I am reserving for 26 November at 07:58 with a compact.,November-26--07:58-compact

I am reserving for 11 November at 18:30 with a class 1 truck.,November-11--18:30-class 1 truck

I am reserving for 25 November at 16:38 with a class 1 truck.,November-25--16:38-class 1 truck

I am reserving for 03 October at 17:52 with a medium.,October-03--17:52-medium

I am reserving for 21 November at 07:51 with a class 2 truck.,November-21--07:51-class 2 truck

I am reserving for 07 November at 18:17 with a class 2 truck.,November-07--18:17-class 2 truck

I am reserving for 01 October at 10:48 with a class 2 truck.,October-01--10:48-class 2 truck

I am reserving for 21 November at 14:36 with a full-size.,November-21--14:36-full-size

I am reserving for 24 October at 16:05 with a full-size.,October-24--16:05-full-size

I am reserving for 12 October at 07:09 with a medium.,October-12--07:09-medium

I am reserving for 27 November at 07:11 with a compact.,November-27--07:11-compact

I am reserving for 17 October at 10:16 with a class 1 truck.,October-17--10:16-class 1 truck

I am reserving for 29 November at 18:30 with a class 2 truck.,November-29--18:30-class 2 truck

I am reserving for 01 November at 07:55 with a compact.,November-01--07:55-compact

I am reserving for 24 October at 07:30 with a medium.,October-24--07:30-medium

I am reserving for 26 November at 15:38 with a class 2 truck.,November-26--15:38-class 2 truck

I am reserving for 16 October at 07:50 with a full-size.,October-16--07:50-full-size

I am reserving for 16 October at 07:09 with a medium.,October-16--07:09-medium

I am reserving for 14 October at 14:46 with a full-size.,October-14--14:46-full-size

I am reserving for 25 October at 18:30 with a class 2 truck.,October-25--18:30-class 2 truck

I am reserving for 23 November at 16:05 with a class 1 truck.,November-23--16:05-class 1 truck

I am reserving for 01 October at 10:09 with a class 1 truck.,October-01--10:09-class 1 truck

I am reserving for 05 November at 07:29 with a class 2 truck.,November-05--07:29-class 2 truck

I am reserving for 15 November at 07:01 with a class 1 truck.,November-15--07:01-class 1 truck

I am reserving for 24 October at 07:19 with a full-size.,October-24--07:19-full-size

I am reserving for 18 November at 18:30 with a medium.,November-18--18:30-medium

I am reserving for 29 October at 07:31 with a class 2 truck.,October-29--07:31-class 2 truck

I am reserving for 12 October at 07:08 with a full-size.,October-12--07:08-full-size

I am reserving for 28 November at 07:42 with a class 1 truck.,November-28--07:42-class 1 truck

I am reserving for 09 October at 16:34 with a compact.,October-09--16:34-compact

I am reserving for 01 October at 07:34 with a full-size.,October-01--07:34-full-size

I am reserving for 16 October at 18:30 with a class 2 truck.,October-16--18:30-class 2 truck

I am reserving for 03 October at 07:41 with a class 2 truck.,October-03--07:41-class 2 truck

I am reserving for 26 October at 18:21 with a class 1 truck.,October-26--18:21-class 1 truck

I am reserving for 17 October at 07:50 with a compact.,October-17--07:50-compact

I am reserving for 25 November at 13:26 with a full-size.,November-25--13:26-full-size

I am reserving for 27 November at 07:26 with a compact.,November-27--07:26-compact

I am reserving for 09 October at 07:46 with a class 2 truck.,October-09--07:46-class 2 truck

I am reserving for 02 November at 18:30 with a class 1 truck.,November-02--18:30-class 1 truck

I am reserving for 29 November at 07:07 with a medium.,November-29--07:07-medium

I am reserving for 18 October at 14:12 with a compact.,October-18--14:12-compact

I am reserving for 29 November at 10:20 with a compact.,November-29--10:20-compact

I am reserving for 21 October at 18:30 with a medium.,October-21--18:30-medium

I am reserving for 20 November at 18:19 with a compact.,November-20--18:19-compact

I am reserving for 16 October at 18:30 with a full-size.,October-16--18:30-full-size

I am reserving for 03 October at 11:23 with a class 1 truck.,October-03--11:23-class 1 truck
